Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2020.02.14_09.38.22,-8.501713,51.894271999999994,2,B,1,LTE,-89,-12,1.0,10,-89,0,0,D,-,-,-,-,-,1,53B22,9CBA,87761409,-89.0,-13.0
2020.02.14_09.38.22,-8.501713,51.894271999999994,2,B,1,LTE,-87,-9,3.0,11,-89,0,0,D,-,-,-,-,-,1,53B22,9CBA,87761409,-88.0,-13.0
2020.02.14_09.38.25,-8.501624000000001,51.89424,0,B,1,LTE,-88,-10,1.0,10,-89,0,0,D,-,-,-,-,-,1,53B22,9CBA,87761409,-88.0,-13.0
2020.02.14_09.38.26,-8.501624000000001,51.89424,0,B,1,LTE,-88,-10,1.0,10,-89,0,0,D,-,-,-,-,-,1,53B22,9CBA,87761409,-88.0,-13.0
2020.02.14_09.38.27,-8.501624000000001,51.89424,0,B,1,LTE,-88,-11,1.0,10,-89,0,0,I,-,-,-,-,-,1,53B22,9CBA,87761409,-88.0,-13.0
2020.02.14_09.38.28,-8.501624000000001,51.89424,0,B,1,LTE,-88,-11,1.0,10,-91,2,2,D,-,-,-,-,-,1,53B22,9CBA,87761409,-88.0,-13.0
2020.02.14_09.38.28,-8.501624000000001,51.89424,0,B,1,LTE,-88,-11,1.0,10,-91,2,2,D,80.0,74.0,90.0,6.0,0.0,1,53B22,9CBA,87761409,-88.0,-13.0
2020.02.14_09.38.29,-8.501624000000001,51.89424,0,B,1,LTE,-88,-12,1.0,9,-89,1,1,D,-,-,-,-,-,1,53B22,9CBA,87761409,-87.0,-13.0
2020.02.14_09.38.30,-8.501624000000001,51.89424,0,B,1,LTE,-88,-12,1.0,9,-87,7082,246,D,-,-,-,-,-,1,53B22,9CBA,87761409,-87.0,-13.0
2020.02.14_09.38.32,-8.501624000000001,51.89424,0,B,1,LTE,-86,-12,0.0,10,-87,9125,147,D,-,-,-,-,-,1,53B22,9CBA,87761409,-89.0,-14.0
2020.02.14_09.38.33,-8.501624000000001,51.89424,0,B,1,LTE,-86,-12,0.0,10,-87,9298,126,D,-,-,-,-,-,1,53B22,9CBA,87761409,-89.0,-14.0
2020.02.14_09.38.34,-8.501624000000001,51.89424,0,B,1,LTE,-86,-10,2.0,8,-87,8411,121,D,-,-,-,-,-,1,53B22,9CBA,87761409,-90.0,-14.0
2020.02.14_09.38.35,-8.501624000000001,51.89424,0,B,1,LTE,-86,-10,2.0,8,-87,7735,119,D,-,-,-,-,-,1,53B22,9CBA,87761409,-90.0,-14.0
2020.02.14_09.38.36,-8.501624000000001,51.89424,0,B,1,LTE,-89,-14,1.0,7,-87,4851,90,D,-,-,-,-,-,1,53B22,9CBA,87761409,-91.0,-13.0
2020.02.14_09.38.38,-8.501624000000001,51.89424,0,B,1,LTE,-89,-14,1.0,7,-87,7993,119,D,-,-,-,-,-,1,53B22,9CBA,87761409,-91.0,-13.0
2020.02.14_09.38.39,-8.501624000000001,51.89424,0,B,1,LTE,-86,-12,4.0,7,-87,5236,93,D,-,-,-,-,-,1,53B22,9CBA,87761409,-90.0,-14.0
2020.02.14_09.38.40,-8.501624000000001,51.89424,0,B,1,LTE,-86,-12,4.0,7,-85,5073,86,D,-,-,-,-,-,1,53B22,9CBA,87761409,-90.0,-14.0
2020.02.14_09.38.41,-8.501624000000001,51.89424,0,B,1,LTE,-86,-10,4.0,12,-87,5580,67,D,-,-,-,-,-,1,53B22,9CBA,87761409,-89.0,-14.0
2020.02.14_09.38.42,-8.501624000000001,51.89424,0,B,1,LTE,-86,-10,4.0,12,-87,4183,7,D,-,-,-,-,-,1,53B22,9CBA,87761409,-89.0,-14.0
2020.02.14_09.38.42,-8.501624000000001,51.89424,0,B,1,LTE,-86,-10,4.0,12,-87,4183,7,D,78.0,70.0,83.0,5.0,0.0,1,53B22,9CBA,87761409,-89.0,-14.0
2020.02.14_09.38.43,-8.501624000000001,51.89424,0,B,1,LTE,-85,-9,7.0,7,-87,8851,211,D,-,-,-,-,-,1,53B22,9CBA,87761409,-89.0,-14.0
2020.02.14_09.38.45,-8.501624000000001,51.89424,0,B,1,LTE,-85,-9,7.0,7,-87,8101,112,D,-,-,-,-,-,1,53B22,9CBA,87761409,-89.0,-14.0
