Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2020.02.13_13.57.29,-8.394565,51.886188,0,B,11,5G,-101,-15,4.0,11,-103,169,129,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-11
2020.02.13_13.57.29,-8.394565,51.886188,0,B,11,5G,-101,-12,1.0,9,-103,169,129,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11
2020.02.13_13.57.30,-8.394564,51.886198,0,B,11,5G,-101,-12,1.0,9,-103,169,129,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11
2020.02.13_13.57.30,-8.394564,51.886198,0,B,11,5G,-101,-12,1.0,9,-103,128,125,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11
2020.02.13_13.57.31,-8.394564,51.886198,0,B,11,5G,-102,-11,1.0,9,-103,166,232,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11
2020.02.13_13.57.32,-8.394564,51.886198,0,B,11,5G,-102,-11,1.0,9,-103,11,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11
2020.02.13_13.57.33,-8.394564,51.886198,0,B,11,5G,-102,-11,1.0,9,-103,11,0,D,72.0,71.0,74.0,1.0,0.0,B,A4DF,9CBA,10805003,-104,-11
2020.02.13_13.57.34,-8.394564,51.886198,0,B,11,5G,-100,-12,-4.0,11,-103,3,3,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-9
2020.02.13_13.57.35,-8.394564,51.886198,0,B,11,5G,-100,-12,-4.0,11,-103,4599,111,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-9
2020.02.13_13.57.36,-8.394564,51.886198,0,B,11,5G,-100,-13,-5.0,10,-107,16656,123,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-10
2020.02.13_13.57.37,-8.394564,51.886198,0,B,11,5G,-100,-13,-5.0,10,-107,19979,62,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-10
2020.02.13_13.57.38,-8.394564,51.886198,0,B,11,5G,-99,-14,1.0,8,-107,19750,66,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-12
2020.02.13_13.57.40,-8.394564,51.886198,0,B,11,5G,-99,-14,1.0,8,-107,19864,66,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-12
2020.02.13_13.57.41,-8.394564,51.886198,0,B,11,5G,-99,-13,-2.0,7,-107,18564,65,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-10
2020.02.13_13.57.42,-8.394564,51.886198,0,B,11,5G,-99,-13,-2.0,7,-107,19919,64,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-10
2020.02.13_13.57.43,-8.394564,51.886198,0,B,11,5G,-98,-14,4.0,9,-107,19550,75,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-11
2020.02.13_13.57.44,-8.394564,51.886198,0,B,11,5G,-98,-14,4.0,9,-107,19274,63,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-11
2020.02.13_13.57.45,-8.394564,51.886198,0,B,11,5G,-98,-14,4.0,9,-107,20202,67,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-11
2020.02.13_13.57.46,-8.394564,51.886198,0,B,11,5G,-99,-10,3.0,8,-107,20202,67,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-12
2020.02.13_13.57.47,-8.394564,51.886198,0,B,11,5G,-99,-10,3.0,8,-107,3,3,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-12
2020.02.13_13.57.47,-8.394564,51.886198,0,B,11,5G,-99,-10,3.0,8,-107,3,3,D,71.0,69.0,73.0,2.0,0.0,B,A4DF,9CBA,10805003,-105,-12
2020.02.13_13.57.48,-8.394564,51.886198,0,B,11,5G,-98,-11,9.0,12,-107,8835,147,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-11
2020.02.13_13.57.49,-8.394564,51.886198,0,B,11,5G,-98,-11,9.0,12,-107,19546,70,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-11
2020.02.13_13.57.50,-8.394564,51.886198,0,B,11,5G,-99,-12,10.0,12,-107,20629,61,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-11
2020.02.13_13.57.51,-8.394564,51.886198,0,B,11,5G,-99,-12,10.0,12,-107,20301,67,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-11
2020.02.13_13.57.53,-8.394564,51.886198,0,B,11,5G,-99,-10,6.0,10,-107,67062,184,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-13
2020.02.13_13.57.54,-8.394564,51.886198,0,B,11,5G,-99,-10,6.0,10,-107,136669,235,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-13
2020.02.13_13.57.55,-8.394564,51.886198,0,B,11,5G,-100,-11,7.0,13,-107,201782,192,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-18
2020.02.13_13.57.56,-8.394564,51.886198,0,B,11,5G,-100,-11,7.0,13,-107,192869,172,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-18
2020.02.13_13.57.57,-8.394564,51.886198,0,B,11,5G,-100,-15,0.0,9,-107,176996,188,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-14
2020.02.13_13.57.58,-8.394564,51.886198,0,B,11,5G,-100,-15,0.0,9,-107,199923,369,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-14
