Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2020.01.16_10.43.34,-8.394544999999999,51.886113,0,B,11,5G,-99,-10,9.0,14,-107,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-16.0
2020.01.16_10.43.35,-8.394544999999999,51.886113,0,B,11,5G,-100,-10,4.0,12,-107,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106.0,-18.0
2020.01.16_10.43.36,-8.394544999999999,51.886113,0,B,11,5G,-100,-10,4.0,12,-105,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-106.0,-18.0
2020.01.16_10.43.37,-8.394544999999999,51.886113,0,B,11,5G,-101,-9,2.0,10,-105,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-7.0
2020.01.16_10.43.38,-8.394544999999999,51.886113,0,B,11,5G,-101,-9,2.0,10,-105,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-7.0
2020.01.16_10.43.39,-8.394544999999999,51.886113,0,B,11,5G,-100,-9,7.0,9,-105,2,2,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106.0,-16.0
2020.01.16_10.43.40,-8.394544999999999,51.886113,0,B,11,5G,-100,-9,7.0,9,-105,2,2,D,72.0,67.0,81.0,5.0,0.0,B,A4DF,9CBA,10805003,-106.0,-16.0
2020.01.16_10.43.40,-8.394544999999999,51.886113,0,B,11,5G,-100,-9,7.0,9,-105,1,1,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106.0,-16.0
2020.01.16_10.43.42,-8.394544999999999,51.886113,0,B,11,5G,-99,-11,5.0,14,-105,14199,219,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-4.0
2020.01.16_10.43.43,-8.394544999999999,51.886113,0,B,11,5G,-99,-11,5.0,14,-105,27292,84,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-4.0
2020.01.16_10.43.44,-8.394544999999999,51.886113,0,B,11,5G,-100,-9,2.0,11,-105,133037,221,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-10.0
2020.01.16_10.43.45,-8.394544999999999,51.886113,0,B,11,5G,-100,-9,2.0,11,-105,168763,181,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-10.0
2020.01.16_10.43.46,-8.394544999999999,51.886113,0,B,11,5G,-101,-15,3.0,9,-105,160461,205,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-9.0
2020.01.16_10.43.47,-8.394544999999999,51.886113,0,B,11,5G,-101,-15,3.0,9,-105,164948,211,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-9.0
2020.01.16_10.43.49,-8.394544999999999,51.886113,0,B,11,5G,-102,-12,6.0,14,-105,162083,215,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-10.0
2020.01.16_10.43.50,-8.394544999999999,51.886113,0,B,11,5G,-102,-12,6.0,14,-105,155306,213,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-10.0
